stock_code,name,name_abbr,tax_code,industry_code,company_type,industry
2367,燿華電子股份有限公司,燿華,05637971,28,上市,電子零組件業
4707,磐亞股份有限公司,磐亞,05712099,21,上櫃,化學工業
6804,明係事業股份有限公司,明係,05839152,37,上櫃,運動休閒
2524,京城建設股份有限公司,京城,06667446,14,上市,建材營造
1445,大宇紡織股份有限公司,大宇,07015014,4,上市,紡織纖維
1472,三洋實業股份有限公司,三洋實業,07029919,14,上市,建材營造
1718,中國人造纖維股份有限公司,中纖,07066907,21,上市,化學工業
1203,味王股份有限公司,味王,07067309,2,上市,食品工業
1324,地球綜合工業股份有限公司,地球,07147916,3,上市,塑膠工業
1413,宏洲纖維工業股份有限公司,宏洲,07220710,4,上市,紡織纖維
1702,南僑投資控股股份有限公司,南僑,07305506,2,上市,食品工業
1409,新光合成纖維股份有限公司,新纖,07435515,4,上市,紡織纖維
1419,新光紡織股份有限公司,新紡,07435901,4,上市,紡織纖維
1436,華友聯開發股份有限公司(原福益),華友聯,07510318,14,上市,建材營造
2913,台灣農林股份有限公司,農林,07525207,18,上市,貿易百貨
1104,環球水泥股份有限公司,環泥,07568009,1,上市,水泥工業
1231,聯華食品工業股份有限公司,聯華食,07569627,2,上市,食品工業
6212,理銘開發股份有限公司,理銘,07611076,14,上櫃,建材營造
1453,大將開發股份有限公司,大將,07617901,14,上市,建材營造
2467,志聖工業股份有限公司,志聖,07618057,28,上市,電子零組件業
4416,三圓建設股份有限公司,三圓,07648290,14,上櫃,建材營造
4406,新昕纖維股份有限公司,新昕纖,07652202,4,上櫃,紡織纖維
1444,力麗企業股份有限公司,力麗,07663290,4,上市,紡織纖維
1457,宜進實業股份有限公司,宜進,07669338,4,上市,紡織纖維
1471,首利實業股份有限公司,首利,07699023,28,上市,電子零組件業
1730,花仙子企業股份有限公司,花仙子,07708830,21,上市,化學工業
1463,強盛染整股份有限公司,強盛,07715023,4,上市,紡織纖維
2014,中鴻鋼鐵股份有限公司,中鴻,07838854,10,上市,鋼鐵工業
8908,欣雄天然氣股份有限公司,欣雄,07861475,23,上櫃,油電燃氣業
5011,久陽精密股份有限公司,久陽,07926511,10,上櫃,鋼鐵工業
3507,力群電子股份有限公司,力群,09410027,13,公開發行,電子工業
2362,藍天電腦股份有限公司,藍天,09424319,25,上市,電腦及週邊設備業
2360,致茂電子股份有限公司,致茂,09461025,31,上市,其他電子業
9938,台灣百和工業股份有限公司,百和,09468343,20,上市,其他
3360,尚立股份有限公司,尚立,09473845,29,上櫃,電子通路業
6117,迎廣科技股份有限公司,迎廣,09497109,25,上市,電腦及週邊設備業
4745,合富醫療控股股份有限公司,合富-KY,09906168,22,上櫃,生技醫療業
8411,福貞控股股份有限公司,福貞-KY,10913602,20,上市,其他
2371,大同股份有限公司,大同,11026506,5,上市,電機機械
1903,士林紙業股份有限公司,士紙,11038101,9,上市,造紙工業
1503,士林電機廠股份有限公司,士電,11039306,5,上市,電機機械
4706,大恭化學工業股份有限公司,大恭,11051504,21,上櫃,化學工業
2905,三商投資控股股份有限公司,三商,11052709,18,上市,貿易百貨
2530,大華建設股份有限公司,華建,11059409,14,上市,建材營造
9908,大台北區瓦斯股份有限公司,大台北,11072304,23,上市,油電燃氣業
2705,六福開發股份有限公司,六福,11081274,16,上市,觀光事業
2851,中央再保險股份有限公司,中再保,11081991,17,上市,金融保險
1418,東華龍股份有限公司,東華,11083148,4,上市,紡織纖維
2506,太平洋建設股份有限公司,太設,11099009,14,上市,建材營造
6960,南山產物保險股份有限公司,南山產物,11099303,17,公開發行,金融保險
1526,日馳企業股份有限公司,日馳,11099726,5,上市,電機機械
1439,雋揚國際股份有限公司,雋揚,11113403,14,上市,建材營造
4702,中美聯合實業股份有限公司,中美實,11121403,38,上櫃,居家生活
2610,中華航空股份有限公司,華航,11145904,15,上市,航運業
5839,中華開發資本股份有限公司,中華開發資本,11147207,20,公開發行,其他
9971,立大開發投資股份有限公司,立大開發,11220403,20,公開發行,其他
6290,良維科技股份有限公司,良維,11298247,28,上櫃,電子零組件業
1423,利華羊毛工業股份有限公司,利華,11311608,4,上市,紡織纖維
5706,鳳凰國際旅行社股份有限公司,鳳凰,11322915,16,上市,觀光事業
1504,東元電機股份有限公司,東元,11332202,5,上市,電機機械
2603,長榮海運股份有限公司,長榮,11337775,15,上市,航運業
1201,味全食品工業股份有限公司,味全,11347802,2,上市,食品工業
2901,欣欣大眾市場股份有限公司,欣欣,11364230,18,上市,貿易百貨
2557,泛亞工程建設股份有限公司,泛亞工程,11367406,14,公開發行,建材營造
2630,亞洲航空股份有限公司,亞航,11381701,15,上市,航運業
1708,東南實業股份有限公司,東鹼,11384405,21,上市,化學工業
1765,長春人造樹脂廠股份有限公司,長春樹脂,11384708,7,公開發行,化學生技醫療
1764,長春石油化學股份有限公司,長春石化,11384806,7,公開發行,化學生技醫療
2374,佳能企業股份有限公司,佳能,11394902,26,上市,光電業
2615,萬海航運股份有限公司,萬海,11395000,15,上市,航運業
1325,恒大股份有限公司,恆大,11455800,3,上市,塑膠工業
5874,南山人壽保險股份有限公司,南山人壽,11456006,17,公開發行,金融保險
1795,美時化學製藥股份有限公司,美時,11456110,22,上市,生技醫療業
8115,帝聞企業股份有限公司,帝聞,11491382,28,興櫃,電子零組件業
2101,南港輪胎股份有限公司,南港,11520909,11,上市,橡膠工業
2010,春源鋼鐵工業股份有限公司,春源,11529802,10,上市,鋼鐵工業
2906,高林實業股份有限公司,高林,11547230,18,上市,貿易百貨
1528,恩德科技股份有限公司,恩德,11551634,5,上市,電機機械
2706,第一華僑大飯店股份有限公司,第一店,11587957,16,上市,觀光事業
2505,國揚實業股份有限公司,國揚,11603817,14,上市,建材營造
2704,國賓大飯店股份有限公司,國賓,11636802,16,上市,觀光事業
1305,華夏海灣塑膠股份有限公司,華夏,11686106,3,上市,塑膠工業
2516,新亞建設開發股份有限公司,新建,11762504,14,上市,建材營造
2605,新興航運股份有限公司,新興,11812103,15,上市,航運業
9964,欣泉投資股份有限公司,欣泉投資,11819788,20,公開發行,其他
4105,台灣東洋藥品工業股份有限公司,東洋,11821341,22,上櫃,生技醫療業
1550,台全電機股份有限公司,台全電機,11824327,5,公開發行,電機機械
